Ax,Ay,Az,Gx,Gy,Gz,Label
-0.001,0.009,1.026,1.085,-3.605,-0.910,Idle
-0.001,0.009,1.026,1.120,-3.649,-0.954,Idle
-0.001,0.009,1.026,1.076,-3.701,-0.928,Idle
-0.001,0.009,1.025,1.015,-3.596,-0.962,Idle
-0.002,0.009,1.026,1.033,-3.649,-0.980,Idle
-0.000,0.009,1.027,1.094,-3.666,-0.954,Idle
0.000,0.010,1.026,1.015,-3.614,-0.910,Idle
-0.001,0.009,1.026,1.067,-3.649,-0.928,Idle
-0.001,0.010,1.025,1.102,-3.666,-0.945,Idle
-0.001,0.010,1.026,1.067,-3.675,-0.945,Idle
-0.000,0.009,1.027,1.041,-3.596,-0.954,Idle
-0.000,0.009,1.026,1.076,-3.622,-0.910,Idle
-0.001,0.010,1.024,1.041,-3.640,-0.945,Idle
-0.000,0.009,1.027,1.120,-3.649,-0.954,Idle
0.000,0.009,1.025,1.085,-3.614,-0.910,Idle
-0.001,0.010,1.028,1.059,-3.588,-0.954,Idle
-0.000,0.009,1.024,1.067,-3.658,-0.858,Idle
-0.000,0.009,1.025,1.076,-3.631,-0.910,Idle
-0.001,0.009,1.025,1.076,-3.666,-0.884,Idle
-0.002,0.009,1.025,1.050,-3.605,-0.928,Idle
-0.001,0.010,1.027,1.085,-3.614,-0.901,Idle
-0.001,0.010,1.027,1.024,-3.640,-0.954,Idle
-0.000,0.009,1.027,1.067,-3.614,-0.919,Idle
-0.001,0.009,1.026,1.050,-3.631,-0.945,Idle
0.000,0.009,1.024,1.102,-3.640,-0.928,Idle
-0.001,0.009,1.026,1.076,-3.631,-0.936,Idle
-0.001,0.009,1.026,1.111,-3.649,-0.901,Idle
-0.001,0.009,1.025,1.033,-3.631,-0.936,Idle
-0.001,0.009,1.025,1.094,-3.649,-0.892,Idle
-0.000,0.009,1.025,1.085,-3.675,-0.971,Idle
-0.000,0.009,1.027,1.076,-3.649,-0.936,Idle
-0.001,0.010,1.025,1.102,-3.631,-0.928,Idle
-0.001,0.010,1.025,1.120,-3.649,-0.936,Idle
-0.001,0.009,1.025,1.067,-3.658,-0.892,Idle
-0.000,0.009,1.027,1.102,-3.614,-0.928,Idle
-0.001,0.009,1.025,1.033,-3.622,-0.892,Idle
-0.001,0.009,1.025,0.998,-3.622,-0.936,Idle
-0.001,0.009,1.025,1.085,-3.658,-0.945,Idle
-0.000,0.009,1.025,1.076,-3.631,-0.936,Idle
0.000,0.009,1.025,1.111,-3.658,-0.945,Idle
-0.001,0.009,1.025,1.050,-3.605,-0.989,Idle
-0.001,0.009,1.026,1.050,-3.622,-0.919,Idle
-0.000,0.009,1.026,1.076,-3.631,-0.901,Idle
-0.000,0.009,1.026,1.067,-3.658,-0.919,Idle
